# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
2.233e+13,2.866,0.201,0.052,15,2013-05-28T13:32:02.33
2.114e+13,2.850,0.160,0.040,16,2013-05-29T00:41:42.47
3.838e+11,1.689,0.000,0.000,1,2013-05-29T01:10:19.13
3.164e+11,1.634,0.089,0.063,2,2013-05-29T05:15:16.30
3.276e+13,2.977,0.169,0.030,31,2013-05-29T13:32:41.22
2.610e+12,2.244,0.000,0.000,1,2013-05-29T15:58:47.06
3.692e+12,2.345,0.249,0.112,5,2013-05-29T21:35:32.26
3.202e+11,1.637,0.009,0.006,2,2013-05-30T01:11:57.32
2.794e+11,1.597,0.173,0.122,2,2013-05-30T05:38:38.74
1.189e+13,2.683,0.809,0.467,3,2013-05-30T19:38:41.86
1.256e+12,2.033,0.592,0.265,5,2013-05-31T01:36:23.76
4.153e+13,3.046,0.237,0.058,17,2013-05-31T22:34:26.00
3.391e+12,2.320,0.195,0.069,8,2013-05-31T22:41:46.63
4.040e+13,3.038,0.313,0.078,16,2013-05-31T22:45:33.80
1.332e+13,2.716,0.268,0.074,13,2013-05-31T23:09:04.94
1.355e+13,2.721,0.285,0.074,15,2013-05-31T23:41:56.12
2.095e+11,1.514,0.070,0.050,2,2013-06-01T10:44:08.13
1.348e+11,1.387,0.000,0.000,1,2013-06-01T15:33:19.10
1.403e+12,2.065,0.396,0.280,2,2013-06-01T17:49:41.84
9.913e+10,1.297,0.080,0.057,2,2013-06-01T22:34:35.74
1.179e+14,3.348,0.000,0.000,1,2013-06-01T23:36:55.96
2.480e+12,2.230,0.172,0.099,3,2013-06-02T00:44:11.60
2.546e+12,2.237,0.060,0.042,2,2013-06-02T01:01:26.30
3.307e+15,4.313,0.000,0.000,1,2013-06-02T15:04:01.08
5.244e+12,2.446,0.167,0.075,5,2013-06-02T23:10:46.00
1.324e+12,2.048,0.000,0.000,1,2013-06-03T05:54:39.20
3.162e+11,1.633,0.000,0.000,1,2013-06-04T00:09:47.75
5.602e+12,2.466,0.614,0.307,4,2013-06-04T09:55:35.31
1.134e+13,2.670,0.201,0.071,8,2013-06-05T10:50:53.60
2.807e+12,2.266,0.150,0.067,5,2013-06-07T00:15:24.28
3.365e+13,2.985,0.026,0.019,2,2013-06-07T15:53:08.71
4.242e+11,1.718,0.064,0.045,2,2013-06-08T05:03:25.43
6.002e+12,2.486,0.171,0.121,2,2013-06-08T07:30:44.90
6.166e+12,2.493,0.111,0.078,2,2013-06-08T07:31:06.57
2.930e+11,1.611,0.110,0.078,2,2013-06-08T14:08:12.48
1.584e+12,2.100,0.162,0.057,8,2013-06-09T08:07:34.04
1.241e+12,2.029,0.074,0.043,3,2013-06-09T08:55:45.58
